Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Industry PE,EPS,Promoter holding,Debt to equity,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,ROCE3yr avg,Return on capital employed,OPM,Profit after tax,Sales,Sales growth 3Years,Sales growth 5Years,Profit growth,Profit growth 3Years,Profit growth 5Years,Profit growth 7Years,Profit growth 10Years,Average return on equity 5Years,Average return on equity 3Years,Return on equity,Return over 1year,Return over 3years,Return over 5years,Return on assets,Sales growth,Sales preceding year,Sales growth 7Years,Operating profit preceding year,Net Profit last year,Sales growth 10Years,Average Earnings 5Year,Free cash flow last year,Free cash flow preceding year,Net cash flow preceding year,Free cash flow 3years,Average return on capital employed 3Years,Average return on capital employed 5Years,Dividend yield,Operating cash flow 3years,Operating cash flow 5years,Operating cash flow 7years,Price to book value,Return over 6months
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,229,14.02,23.01,15.89,44.95,0.34,13.66,46.67,212.34,22.54,20.14,21.7,13.59,57.38,777.49,17.15,10.14,37.2,35.2,17.97,20.05,48.68,14.98,16.11,17.75,145.07,55.17,44.5,10.35,10.8,701.69,10.27,85.79,56.16,9.05,36.19,34.82,51.74,7.55,98.43,20.14,18.86,0.55,152.96,249.75,363.66,2.29,28.84
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,39.37,,38.53,-17.63,0,0.29,-99.08,-104.23,197.04,3.45,-2.13,-6.65,-1.65,-73.56,813.88,10.17,-6.22,-2543.85,,,,6.05,-0.83,-5.9,-15.71,19.3,58.97,67.91,-8.99,11.63,729.11,-2.95,-36.88,-298.27,-4.63,-4.67,62.05,-29.17,-67.15,-26.96,-2.13,-1.02,0,81.24,328.85,558.62,2.27,-24.36
3M India,523395,3MINDIA,Diversified - Large,40020.6,84.01,25.12,476.05,75,0.01,161.24,30.8,1032.72,4.69,24.53,33.08,17.98,536.27,3926.76,17.5,6.93,28.95,53.53,10.67,12.12,28.59,14.61,18.08,24.84,43.85,17.81,13,16.99,5.18,3733.44,7.53,559.79,536.27,8.47,316.87,552.85,365.15,-574.56,1183.71,24.53,19.83,0.4,1341.7,1872.08,2168.82,19.02,17.37
7Seas Enter.,540874,,Computers - Software - Medium / Small,69.8,135.67,38.53,0.51,37.46,0.04,0.21,162.5,3.17,193.52,12.58,18.36,13.91,0.96,11.79,738.48,125.99,123.26,-18.6,15.83,-1.41,8.49,,,20.69,192.29,74.79,52.37,13.61,113.59,5.52,8.34,0.57,0.96,21.16,0.33,-9.36,-1.33,-1.29,-13.39,12.58,-100.56,0,-9.53,-9.55,-9.54,12.81,142.45
A B B,500002,ABB,Electric Equipment,8591,124.48,61.85,68.73,75,0.01,459.29,87.46,3080.36,27.75,23.27,30.69,15.92,1462.61,11115.67,21.52,9.32,68.72,92.69,19.98,19.52,21.4,14.06,17.76,22.92,96.61,71.16,45.14,12.28,23.37,8567.53,2.75,967.71,1242.05,3.07,592.76,1168.4,594.04,2427.77,2276.79,23.27,18.23,0.28,2743.61,3728.7,5145.82,30.62,76.34
A.K.Capital Serv,530499,,Finance & Investments,1086,7.82,24.42,138.95,71.5,3,30.21,22.05,146.73,26.2,8.91,9.46,62.97,91.71,518.54,21.69,4.23,4.66,7.22,5.09,6.91,10,10.6,10.89,10.43,109.39,31.07,29.26,2.67,27.56,406.51,6.4,256.09,92.52,7.91,77.35,339.32,38.54,-8.48,255.09,8.91,9.13,1.47,265.96,1141.09,1511.45,0.78,38.88
A2Z Infra Engg.,533292,A2ZINFRA,Engineering - Turnkey Services,21.07,,40.94,-0.32,28.14,6.15,-0.46,53.34,97.97,8,-11.33,-19.96,-22.8,-46.39,388.49,-2.17,-14.87,-399.03,12.55,,8.49,6.14,-33.02,-54.06,-132.12,194.69,51.58,15.06,-7.17,11.18,349.44,-12.58,1.45,-7.36,-5.7,-86.3,84.67,52.91,1.52,190.45,-11.33,-7.5,0,191.71,158.58,277.35,11.53,44.81
Aadi Industries,530027,,Plastics Products,6.2,,35.96,-0.09,24.86,,0.08,500,0,,-52.89,-40.82,,-0.09,0,,,50,5.73,10.2,4.92,7.15,,,,67.57,,,-28.57,,0,,-0.23,-0.09,,0.1,0.09,-0.08,-0.03,-0.37,-52.89,-45.64,0,-0.35,-0.41,3,,-14.01
Aarey Drugs,524412,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,49,26.38,32.91,1.84,45.28,0.24,2.15,497.22,210.35,29.14,6.96,4.44,1.13,4.68,395.62,4.33,2.22,24.14,-10.42,-6.47,-2.2,16.12,5.24,4.4,3.78,47.67,10.05,21.13,1.57,-5.56,418.9,-0.01,7.72,4.68,7.07,5.46,-3.3,-2.32,0.51,-7.32,6.96,7.84,0,-3.36,4.98,-14.68,0.94,-18.13
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,546.3,29.27,32.91,18.65,57.13,0.44,47.31,-15.65,619.99,-16.49,16.96,14.75,12.52,171.42,2528.58,5.48,10.13,3.07,-15.11,14.47,11.43,,20.42,16.32,13.86,17.41,-8.88,33.49,7.07,-6.9,2716.05,11.3,309.46,171.59,,192.2,132.77,-30.47,-13.23,20.76,16.96,21.2,0.18,563.53,969.22,1182.08,3.92,5.42
Aarti Industries,524208,AARTIIND,Chemicals,705.3,61.41,42.14,11.48,43.43,0.61,132,-11.41,1773,7.07,13.24,7.41,15.3,416,6372,12.24,8.86,-23.68,-7.36,-3.24,4.04,10.34,16.09,15.52,8.15,55.32,-3.08,13.93,4.57,-3.73,6618.58,10.52,1088.97,416,9.3,639.78,-100,-16.5,27.17,-762.85,13.24,13.63,0.35,3032.45,5007.22,6078.32,4.83,13.76
Aarvee Denims,514274,AARVEEDEN,Textiles - Cotton/Blended,30.95,,28.02,-19.02,65.8,16.14,-6.46,58.16,24,-51.92,-8.72,-9.65,-36.85,-44.62,84.73,-31.62,-35.37,33.22,10.02,,,,-35.76,-55.22,-113.54,50.98,13.26,10.84,-9.24,-67.52,260.9,-28,-28.16,-44.62,-18.86,-52.32,109.93,52.53,-9.7,221.36,-8.72,-6.69,0,162.1,272.1,360.44,4.22,0
AAVAS Financiers,541988,AAVAS,Finance - Housing,1800.4,29.02,21.93,62,26.47,3.29,142.62,12.52,546.02,21.47,9.64,9.91,73.49,490.69,2017.5,22.29,23.23,14.15,19.24,22.77,35.96,54.48,13.57,13.94,13.93,16.28,-14.71,3.48,3.28,25.44,1608.3,30.98,1166.93,490.69,43.55,363.18,-2017.99,-1948.64,134.36,-5117.78,9.64,9.81,0,-5032.7,-7275.66,-9484.65,3.78,13.83
Aban Offshore,523204,ABAN,Oil Drilling / Allied Services,68.25,,20.1,-225.79,46,,-340.14,10.13,137.47,88.44,0,,-38.64,-1317.84,399.67,-27.97,-13.97,-11.29,10.33,11.84,-4.11,,,,,67.28,16.38,12.63,-80.97,0.74,396.73,-19.07,-131.1,-1317.84,-20.45,-3142.23,-88.78,1525.56,60.6,1205.14,0,-174.22,0,-375.57,-672.69,701.54,,13.75
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,28336.85,50.18,44.6,565.3,74.99,0.02,287.06,24.04,1438.63,7.11,41.84,46.03,24.84,1201.22,5848.91,10.71,9.72,26.5,20.25,22.02,23.33,20.21,30.47,32.2,34.88,20.73,17.99,26.02,24.64,9.35,5348.73,10.53,1205.89,1201.22,9.9,846.75,1164.68,859.76,106.96,2928.26,41.84,39.19,1.45,3053.86,4406.71,5058.54,16.28,11.83
ABC Gas (Int.),513119,,Trading,96.15,,34.42,1.06,1.21,0,0.63,56.1,0,,-20.8,-13.53,-5300,-0.57,0.01,-71.23,-58.05,-470,-16.84,,,,-22.13,-23.72,-14.79,148.32,111.66,50.41,-13.12,-50,0.02,-57.43,-0.15,0.21,-42.78,-0.52,3.34,-0.61,-0.03,3.86,-20.8,-16.77,0,-1.81,-2.08,-2.25,4.81,74.98
ABC India,520123,,Miscellaneous,111.5,27.45,40.42,4.21,64.69,0.46,0.16,-84.38,39.67,7.22,8.37,8.1,3.55,2.2,164.59,-0.53,-1.44,-9.47,-3.79,-15.38,13,8.02,7.62,6.21,5.07,30.2,8.71,15.93,2.36,13.38,145.17,3.51,4.93,2.28,0.12,2.82,1.21,4.21,1.15,5.85,8.37,10.69,0.45,5.01,22.06,34.48,1.34,-13.23
Abhinav Capital,532057,,Finance & Investments,200,14.96,24.42,13.37,71.48,0.49,0.82,-48.75,2.31,-1.28,18.21,16.26,93,9.26,15.29,67.56,31.02,-4.34,93.4,28.82,16.34,68.56,11.77,14.65,13.47,104.5,81.05,21.34,9.87,16.45,13.13,19.48,12.54,9.26,47.67,5.19,35.02,9.31,9.63,29.78,18.21,13.07,0,29.78,44.14,36.68,1.8,40.35
Abirami Fin.,511756,,Finance & Investments,65.82,24.51,24.42,2.69,65.65,0,0.25,525,0,,42.1,5.12,,1.45,0,,,-90.07,141.49,135.54,57.62,19.71,26.37,35.76,6.75,84.99,151.25,53.12,6.11,,0,,-1.23,1.45,,3.18,-0.48,16.29,16.05,15.7,42.1,25.49,3.04,-5.26,-5.09,-3.42,1.72,88.11
ABM Knowledge,531161,,Computers - Software - Medium / Small,147,19.76,38.53,7.44,66.93,0,5.84,85.99,23.1,46.2,9.15,8.86,17.62,14.88,78.65,2.21,7.4,15.53,-8.76,-1.17,-2.94,0.27,8.12,6.94,6.89,50,1.21,22.66,6.04,19.8,65.65,-2.67,13.34,14.88,-0.29,15.5,3.14,3.28,-13.43,9.18,9.15,10.85,0.85,10.62,35.24,70.7,1.32,6.52
ACC,500410,ACC,Cement - North India,2685.8,23.38,30.09,124.42,56.69,0.02,944.84,158.23,5408.72,12.9,15.28,17.27,15.34,2156.1,19958.92,13.13,6.16,130.83,11.85,7.24,18.13,7.33,11.94,11.62,14.15,49.65,9.65,11.62,9.82,-10.14,22210.18,8.9,1924.93,2336.53,6.08,1578.88,1646.16,-3216.05,-7109.96,112.26,15.28,16.16,0.28,4595.52,9069.42,11741.41,3.09,15.68
Accel,517494,,Computers - Software - Medium / Small,22.75,36.08,38.53,0.6,71.62,1.13,0.86,269.12,49.87,1.16,9,8.99,10.18,3.63,167.09,33.13,89.99,26.04,39.74,23.7,16.41,,0.51,5.47,5.67,14.61,12.57,27.55,1.95,6.67,156.64,61.42,18.23,3.29,,0.36,14.66,9.31,1.28,25.45,9,3.83,1.32,41.4,45.66,32.63,2.01,-23.06
Accelya Solution,532268,ACCELYA,Computers - Software - Medium / Small,1797.05,23,38.53,63.49,74.66,0.04,0.2,-21.29,130.99,9.65,38.52,56.12,38.41,116.46,505.53,4.44,4.18,4.64,10.82,5.74,5.13,3.41,36.75,31.12,44.25,39.87,8.73,16.27,32.54,12.35,368.4,4.67,134.24,126.72,4.44,85.88,127.53,100.84,-17.86,296.52,38.52,50.56,3.62,338.38,556.23,760.14,9.28,15.12
